0	0
5	183
6	712
7	427
10	428
14	601
15	429
17	566
18	820
19	572
20	711
22	430
25	328
26	168
28	273
29	791
30	539
31	540
34	743
35	671
36	17
37	155
38	672
39	560
40	699
42	554
43	824
44	731
46	825
48	58
49	826
50	773
51	345
52	633
54	59
55	905
56	204
58	434
59	833
61	914
62	1637
63	19
64	20
65	231
67	305
68	336
69	55
70	654
72	723
75	576
76	724
77	754
78	581
80	1262
81	837
82	437
83	270
84	913
85	438
86	597
87	172
88	262
89	789
90	864
91	149
92	101
93	527
94	297
95	617
97	15
98	440
99	4
101	598
103	158
105	60
106	62
107	259
108	207
109	348
111	9
112	889
114	352
116	478
118	39
119	411
121	677
122	252
125	806
126	239
127	52
129	186
130	1604
131	187
132	614
133	349
134	189
135	400
136	674
137	488
138	553
139	577
140	188
141	198
142	490
143	746
144	289
145	547
146	112
147	446
148	113
149	200
150	663
151	447
152	174
153	13
154	176
155	448
156	449
157	142
158	28
159	298
160	626
161	130
162	786
163	302
164	372
165	872
166	753
167	314
168	629
169	319
170	300
171	584
172	580
173	811
174	481
176	151
177	110
179	545
180	96
181	830
182	105
185	215
186	831
187	834
188	593
189	469
190	152
191	708
193	770
194	255
195	763
196	420
197	685
198	487
199	1715
200	457
201	810
202	24
203	271
204	229
208	571
209	666
210	148
211	696
212	459
213	121
214	691
215	718
216	310
217	622
219	461
220	645
221	462
226	652
227	764
228	209
229	648
231	463
232	210
233	465
234	393
235	761
236	211
237	908
238	631
239	150
240	413
241	477
242	803
244	395
246	1630
247	797
248	466
249	417
250	735
251	338
252	303
253	396
254	468
255	692
256	522
257	611
259	384
260	26
261	592
262	167
263	292
267	214
271	556
272	164
274	887
276	538
277	895
278	157
281	494
284	503
285	267
286	602
287	357
288	636
293	471
296	525
297	78
299	689
302	144
303	43
304	342
305	497
306	202
307	827
309	46
310	106
311	250
313	678
314	679
316	480
317	318
318	435
319	790
320	755
322	733
323	587
324	286
325	662
326	201
327	664
328	704
329	888
330	694
332	507
334	424
335	44
336	309
338	537
340	586
341	1156
344	251
345	860
346	550
348	681
350	288
351	382
353	369
354	370
355	124
356	125
357	56
358	284
360	493
363	441
364	510
365	394
366	100
367	564
368	565
369	548
374	401
376	719
377	720
379	730
380	596
381	8
382	398
383	192
384	208
386	412
387	31
389	769
390	796
391	443
392	47
393	892
394	583
396	321
397	322
399	896
400	474
401	475
402	473
403	476
404	737
405	472
406	51
409	822
411	114
412	805
413	630
414	450
415	10
417	802
418	117
421	373
422	222
424	245
425	247
426	248
427	775
428	878
431	890
432	268
433	269
434	415
435	828
436	829
438	128
443	146
444	107
445	296
446	1836
449	529
450	455
451	530
452	216
453	199
455	40
456	458
460	161
461	169
462	307
463	280
464	759
467	419
469	38
470	129
472	804
473	776
474	865
475	327
480	109
481	123
482	313
483	390
484	841
485	552
487	561
488	562
489	563
491	661
492	569
493	909
494	203
495	657
496	627
499	486
500	102
501	256
502	257
504	333
506	506
507	467
508	32
509	846
510	546
511	736
512	346
513	347
514	2
515	404
516	126
517	385
519	734
520	815
523	386
525	387
526	816
527	817
529	818
530	1759
532	594
533	595
534	154
535	324
536	613
538	780
539	228
541	242
542	823
543	851
545	600
546	180
547	194
548	179
549	618
550	391
552	665
555	279
556	542
557	433
559	29
560	528
561	264
562	579
563	745
566	249
567	258
569	147
570	479
571	644
572	603
573	98
574	367
575	368
576	436
577	1400
578	628
579	418
580	275
581	276
583	634
584	290
585	6
586	145
588	762
590	308
591	351
592	89
593	624
594	625
595	838
597	127
599	41
601	501
602	325
603	16
604	814
605	217
606	410
607	848
608	439
609	938
610	749
611	635
616	588
617	238
619	163
620	655
621	115
622	482
623	647
625	111
626	166
628	765
629	651
630	364
632	118
633	61
634	326
635	901
636	422
638	1776
639	632
640	304
641	668
642	911
643	710
645	513
646	77
649	414
650	230
651	320
654	891
655	57
656	693
657	709
658	445
660	697
661	354
665	90
667	578
668	42
669	195
671	193
673	243
674	701
675	301
676	416
678	729
679	604
680	35
682	21
683	54
684	409
685	50
686	93
687	94
690	3
691	5
692	299
694	227
695	766
697	91
698	452
700	453
701	397
702	454
703	880
704	45
706	383
707	748
708	306
710	531
711	456
712	836
713	408
714	225
715	1678
719	667
720	772
721	582
722	241
723	184
724	621
725	233
726	707
727	460
728	715
729	757
730	752
732	12
733	119
735	272
736	756
737	897
738	760
740	67
741	843
743	574
744	464
745	392
746	315
747	509
748	643
750	656
751	120
752	744
753	549
754	787
755	511
758	771
